DATAFLOW,LAST UPDATE,freq,wat_proc,wat_src,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2019,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2020,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2000,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2001,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2002,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2003,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2004,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2005,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2006,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2007,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2008,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2009,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2010,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2011,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2012,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2013,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2014,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2015,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2016,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2017,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2018,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2019,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CH,2020,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,1997,5.40,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,1998,10.90,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,1999,14.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2000,13.60,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2001,21.80,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2002,29.80,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2003,30.10,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2004,29.10,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2005,31.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2006,26.20,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2007,27.10,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2008,32.60,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2009,49.40,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2010,52.70,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2011,48.70,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2012,17.60,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2013,10.70,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2014,32.80,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2015,38.13,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2016,68.69,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2017,68.68,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2018,69.60,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2019,54.80,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CY,2020,29.77,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2006,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2007,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2008,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2009,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2010,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2011,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2012,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2013,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2014,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2015,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2016,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2017,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2018,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2019,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,CZ,2020,,z
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,EE,2000,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,EE,2001,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,EE,2002,0.00,
